file,project,version,loc,lloc,sloc,comments,multi,blank,cyclo,wmc,η1,η2,N1,N2,η,N,N_hat,V,D,E,T,B,cbo,lcom,DIT,rfc,ComplexMethod
coba.py,django-2.2,2.2,6.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
setup.py,django-2.2,2.2,138.0,30.0,104.0,9.0,0.0,25.0,1.0,1.0,4.0,6.0,4.0,8.0,10.0,12.0,23.51,39.863,2.667,106.302,5.906,0.013288,0.0,0.0,0.0,0.0,0
django\shortcuts.py,django-2.2,2.2,158.0,62.0,66.0,9.0,52.0,31.0,23.0,23.0,4.0,16.0,10.0,17.0,20.0,27.0,72.0,116.692,2.125,247.971,13.776,0.038897,0.0,0.0,0.0,0.0,0
django\__init__.py,django-2.2,2.2,24.0,13.0,14.0,0.0,5.0,5.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.755,0.5,2.377,0.132,0.001585,0.0,0.0,0.0,0.0,0
django\__main__.py,django-2.2,2.2,9.0,4.0,3.0,0.0,4.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.755,0.5,2.377,0.132,0.001585,0.0,0.0,0.0,0.0,0
docs\conf.py,django-2.2,2.2,372.0,59.0,96.0,186.0,0.0,92.0,3.0,3.0,5.0,13.0,7.0,14.0,18.0,21.0,59.715,87.568,2.692,235.761,13.098,0.029189,0.0,0.0,0.0,0.0,0
scripts\manage_translations.py,django-2.2,2.2,185.0,111.0,111.0,26.0,21.0,26.0,39.0,39.0,11.0,60.0,34.0,64.0,71.0,98.0,392.467,602.675,5.867,3535.695,196.427,0.200892,0.0,0.0,0.0,0.0,0
tests\runtests.py,django-2.2,2.2,506.0,266.0,392.0,45.0,3.0,70.0,70.0,70.0,12.0,109.0,76.0,141.0,121.0,217.0,780.752,1501.393,7.761,11653.016,647.39,0.500464,6.0,1.0,0.0,4.0,0
tests\test_sqlite.py,django-2.2,2.2,29.0,4.0,12.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\urls.py,django-2.2,2.2,7.0,2.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\absolute_url_overrides\tests.py,django-2.2,2.2,58.0,33.0,40.0,0.0,10.0,8.0,7.0,7.0,1.0,9.0,7.0,14.0,10.0,21.0,28.529,69.76,0.778,54.258,3.014,0.023253,11.0,3.0,1.0,11.0,0
tests\absolute_url_overrides\__init__.py,django-2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\admin_autodiscover\admin.py,django-2.2,2.2,6.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\admin_autodiscover\models.py,django-2.2,2.2,5.0,3.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0
tests\admin_autodiscover\tests.py,django-2.2,2.2,21.0,11.0,10.0,3.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,4.0,0
tests\admin_autodiscover\__init__.py,django-2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\admin_changelist\admin.py,django-2.2,2.2,149.0,91.0,91.0,1.0,0.0,58.0,42.0,42.0,2.0,6.0,3.0,6.0,8.0,9.0,17.51,27.0,1.0,27.0,1.5,0.009,43.0,2.0,1.0,3.0,0
tests\admin_changelist\models.py,django-2.2,2.2,121.0,69.0,67.0,1.0,8.0,45.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,1.0,3.0,0
